Airport,Initial_z_score,Delay_Score,Datetime
ATL,0.0,0.08793622882566048,2023-06-01 08:00:00
AUS,0.0,0.07817015405718748,2023-06-01 08:00:00
BNA,0.0,0.09372816783110428,2023-06-01 08:00:00
BOS,0.4965853037914095,0.15650865097592326,2023-06-01 08:00:00
BUF,0.0,0.07751376708946524,2023-06-01 08:00:00
BWI,0.0,0.08857709056537308,2023-06-01 08:00:00
CLT,0.0,0.09432772987018463,2023-06-01 08:00:00
DAL,0.0,0.0799583964667275,2023-06-01 08:00:00
DCA,0.0,0.09732822696591943,2023-06-01 08:00:00
DEN,0.0,0.08028052648536405,2023-06-01 08:00:00
DFW,0.4965853037914095,0.1647087865434499,2023-06-01 08:00:00
DTW,0.0,0.10409588757559979,2023-06-01 08:00:00
ELP,0.0,0.07973285826368176,2023-06-01 08:00:00
EWR,0.0,0.09041158959886797,2023-06-01 08:00:00
FLL,0.4965853037914095,0.17138638415743296,2023-06-01 08:00:00
GEG,0.0,0.048625577906344315,2023-06-01 08:00:00
GRR,0.0,0.08682823266710733,2023-06-01 08:00:00
HNL,0.0,0.056513030786175755,2023-06-01 08:00:00
HOU,0.0,0.08756775369231845,2023-06-01 08:00:00
IAD,0.0,0.08267526821946015,2023-06-01 08:00:00
IAH,0.4965853037914095,0.16562678730794816,2023-06-01 08:00:00
JFK,0.0,0.10628440914423957,2023-06-01 08:00:00
KOA,0.0,0.04752157158731562,2023-06-01 08:00:00
LAS,0.0,0.07111287349622314,2023-06-01 08:00:00
LAX,0.0,0.06576669164405996,2023-06-01 08:00:00
LGA,0.0,0.09977818476208315,2023-06-01 08:00:00
MCI,0.0,0.08108371570854406,2023-06-01 08:00:00
MCO,1.2465969639416066,0.2682511974959624,2023-06-01 08:00:00
MDW,0.0,0.08076448082616862,2023-06-01 08:00:00
MIA,0.0,0.09003211367975783,2023-06-01 08:00:00
MSP,0.0,0.08562289706345923,2023-06-01 08:00:00
MSY,0.0,0.12587270058973848,2023-06-01 08:00:00
MYR,0.0,0.11495368946832368,2023-06-01 08:00:00
OAK,0.0,0.058452923828547367,2023-06-01 08:00:00
OKC,0.0,0.1255276978531756,2023-06-01 08:00:00
ORD,0.4965853037914095,0.15762361154104582,2023-06-01 08:00:00
PDX,0.0,0.049587072469169165,2023-06-01 08:00:00
PHL,0.0,0.09734971738501796,2023-06-01 08:00:00
PHX,0.0,0.06812384126045082,2023-06-01 08:00:00
PNS,0.0,0.08460757200967317,2023-06-01 08:00:00
PVD,0.0,0.08195997735024216,2023-06-01 08:00:00
RDU,0.0,0.09240895637486639,2023-06-01 08:00:00
RIC,0.0,0.08321690620137459,2023-06-01 08:00:00
RSW,0.0,0.07282517924349302,2023-06-01 08:00:00
SAN,0.0,0.06174643189776512,2023-06-01 08:00:00
SAT,0.0,0.09702744416378968,2023-06-01 08:00:00
SAV,0.0,0.09580215700399626,2023-06-01 08:00:00
SDF,0.0,0.09212710233743007,2023-06-01 08:00:00
SEA,0.0,0.051478938769553055,2023-06-01 08:00:00
SFB,0.0,0.0,2023-06-01 08:00:00
SFO,0.0,0.06406054271077886,2023-06-01 08:00:00
SJC,0.0,0.055193963017606436,2023-06-01 08:00:00
SJU,0.0,0.11587293825926927,2023-06-01 08:00:00
SLC,0.0,0.06400309560473419,2023-06-01 08:00:00
SMF,0.0,0.05985275716572084,2023-06-01 08:00:00
SNA,0.0,0.06554139350604839,2023-06-01 08:00:00
SRQ,0.0,0.07915556009324241,2023-06-01 08:00:00
STL,0.0,0.07656797018733176,2023-06-01 08:00:00
TPA,0.0,0.08363542157649177,2023-06-01 08:00:00
TUS,0.0,0.09181480645919414,2023-06-01 08:00:00
ATL,2.4829265189570475,0.701413001153777,2023-06-01 09:00:00
AUS,0.0,0.3089663655285435,2023-06-01 09:00:00
